iteration,weight_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-1.cor_curve_43,weight_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-2.cor_curve_43,weight_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-3.cor_curve_43,weight_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-4.cor_curve_43,weight_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-4R3.cor_curve_43,weight_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-6.cor_curve_43
1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2,0.15191957285482377,0.18133684224079855,0.2795392959715768,0.025632742028148477,0.05055115517056536,0.31102039173408713
3,0.12571926289677862,0.13702729615097448,0.3063964821458438,0.022762391750133535,0.041537041969806184,0.36655752508646344
4,0.10249876598818489,0.1058979700695904,0.31987121071004915,0.020630857541417077,0.036480644012239084,0.4146205516785193
5,0.0868906482031412,0.08715393330377443,0.3237337856666893,0.018987296824358985,0.032861374362208734,0.4503729616398274
6,0.07831281987078638,0.07703358711405779,0.32069806045358795,0.017996491820352678,0.030614544198657834,0.47534449654255745
7,0.07411313493519996,0.07185597859645236,0.3144571460161226,0.017470848263216165,0.029309288119940467,0.4927936040690683
8,0.07214180830198076,0.06915476088606663,0.3076211989637499,0.017195641770194975,0.028528341298640604,0.5053582487793673
9,0.07119605099171858,0.06763257385274779,0.3014325983283072,0.017041668926236795,0.028024502270326105,0.5146726056306635
10,0.0707053497412897,0.0666853053466609,0.29628493413137735,0.01694642020004627,0.0276751488221209,0.5217028417585048
11,0.07041967749634263,0.06604237729137764,0.29218023968995366,0.01688175838340944,0.027420824490586897,0.5270551226483298
12,0.0702330350898713,0.0655796049508617,0.2889790004963382,0.01683495155207221,0.02723063012078071,0.5311427777900759
13,0.07010026514660471,0.06523527426099994,0.28651207747109103,0.01679983684197782,0.027086552287848124,0.5342659939914783
14,0.07000107710966433,0.06497486955823246,0.28462351625277393,0.016773053912434596,0.026976833060465874,0.5366506501064288
15,0.06992526556039703,0.064776575192471,0.28318305761101575,0.01675250279819516,0.026893148736944813,0.5384694501009764
16,0.06986684557511032,0.06462524291654419,0.2820867091739888,0.016736718536804557,0.02682932696173275,0.5398551568358193
17,0.0698217739041818,0.06450973934643436,0.281253312628197,0.01672460951598394,0.026780687796890683,0.5409098768083123
18,0.06978705840165829,0.06442164644259081,0.28062028621940033,0.016715337014998288,0.02674365140738143,0.5417120205139708
19,0.06976038724029775,0.06435452402662604,0.2801396895665498,0.01670824985388969,0.02671547304786066,0.5423216762647761
20,0.06973994852720998,0.06430342798126916,0.2797749351148491,0.01670284196551221,0.026694049209429572,0.5427847972017299
21,0.06972432089639344,0.06426456343529126,0.27949816082474155,0.01669872112862991,0.02667777015686572,0.5431364635580781
22,0.06971239390175894,0.06423502214272156,0.27928817765558567,0.016695584492078114,0.026665406057450082,0.5434034157504056
23,0.06970330461984561,0.06421257950172035,0.279128885059371,0.01669319905987507,0.02665601875591714,0.5436060130032709
24,0.0696963858620145,0.06419553684263785,0.27900805585162597,0.0166913861399115,0.026648893521634052,0.5437597417821762
25,0.06969112399059617,0.06418259903566348,0.2789164079403361,0.016690009037679733,0.026643486408507215,0.5438763735872173
26,0.06968712495017743,0.0641727798294873,0.2788468968563801,0.016688963397270426,0.026639383787823007,0.5439648511788618
27,0.06968408725046005,0.06416532891085519,0.2787941773681587,0.016688169676317786,0.026636271329085207,0.5440319654651231
28,0.06968178070853712,0.06415967589056705,0.27875419417320335,0.016687567319440298,0.026633910280109287,0.5440828716281428
29,0.06968002986765377,0.06415538740901945,0.2787238709307662,0.016687110268810493,0.026632119363580446,0.5441214821601696
30,0.06967870115102252,0.06415213436244634,0.27870087412024214,0.01668676351810842,0.026630760980959817,0.5441507658672208
31,0.06967769296089052,0.0641496669061037,0.2786834337820996,0.016686500475064897,0.02662973071110752,0.5441729751647337
