iteration,weight_-2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-10.cor_curve_43,weight_-2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-10r.cor_curve_43,weight_-2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-10r2.cor_curve_43,weight_-2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-10r3.cor_curve_43,weight_-2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-8.cor_curve_43,weight_-2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-8R2.cor_curve_43,weight_-2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-9.cor_curve_43
1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2,0.04048859619091383,0.4354744205327547,0.014155972180619567,0.3003206220604748,0.008458211222592384,0.018027211704558812,0.18307496610808593
3,0.02395588530863632,0.2109450834933321,0.005827550372999434,0.5684081038334079,0.003536115150762192,0.010310073849877494,0.17701718799098448
4,0.018220144518199283,0.10353586251177023,0.0039042041199555833,0.6782231406089391,0.0023762326680817985,0.00805366469302,0.18568675088003395
5,0.017335775760898318,0.08084880053893317,0.0035116694856841086,0.6799603850729672,0.002139750561508334,0.007794620175388266,0.20840899840462065
6,0.017586232659495438,0.0769926974074321,0.003495676935267764,0.6658043460649757,0.0021298342813526523,0.00794516838673285,0.22604604426474342
7,0.017813883396205103,0.07599501629688028,0.003512152933899602,0.6556692355003667,0.002139346852326176,0.008058489923735382,0.23681187509658688
8,0.017955429963508067,0.07557411087742788,0.0035248681895667477,0.6494516168725706,0.0021467347576193544,0.00812705382776264,0.2432201855115448
9,0.018040739717524536,0.07535036197204653,0.0035328961717790075,0.6456815196956198,0.002151407833186168,0.008168170390845567,0.24707490421899841
10,0.0180924593402196,0.07522120331971047,0.003537839367548001,0.6433813585173851,0.002154287797203089,0.008193074682808367,0.2494197769751254
11,0.018124066675558673,0.07514410970221273,0.0035408811309477397,0.6419693563712965,0.002156060803242115,0.008208292341206859,0.25085723297553536
12,0.018143495188458973,0.07509732542215435,0.0035427575307541695,0.6410988862420732,0.0021571548261292246,0.008217646509744062,0.25174273428068605
13,0.018155482828150393,0.07506867215869055,0.0035439176147657064,0.6405607998213919,0.0021578313115451658,0.008223418345610144,0.25228987791984614
14,0.018162897084583105,0.07505102847324395,0.003544635959410601,0.6402276105847091,0.002158250242529467,0.008226988281464653,0.2526285893740591
15,0.01816748962631806,0.07504012882524637,0.003545081229728379,0.6400210763282123,0.002158509934188038,0.008229199618082174,0.2528385144382248
16,0.01817033700475428,0.075033382090793,0.003545357415547762,0.6398929669529373,0.0021586710175550577,0.008230570666859676,0.252968714851553
17,0.018172103410347373,0.07502920088547936,0.0035455287956102748,0.6398134703445826,0.002158770975861529,0.008231421221087472,0.2530495043670315
18,0.018173199618753154,0.0750266076964803,0.003545635169000103,0.6397641271300553,0.0021588330195080646,0.008231949066998676,0.2530996482992044
19,0.018173880064799555,0.07502499865342108,0.003545701204400066,0.6397334951318788,0.002158871535817705,0.008232276716323478,0.25313077669335926
20,0.018174302495109474,0.0750239999753143,0.0035457422026159012,0.6397144770766316,0.0021588954488697036,0.008232480126007087,0.25315010267545207
