iteration,weight_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-1.cor_curve_43,weight_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-2.cor_curve_43,weight_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-3.cor_curve_43,weight_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-4.cor_curve_43,weight_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-4R3.cor_curve_43,weight_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-6.cor_curve_43
1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2,0.14290204377489774,0.1526767226933724,0.35994439400735817,0.0737721618377709,0.037727799270589966,0.2329768784160109
3,0.11671532415567198,0.09061305923763009,0.40177471343133203,0.06601706230484078,0.024720824752555715,0.30015901611796936
4,0.0818468981235962,0.05852109072114802,0.4050876285243795,0.05784240658543911,0.019016538149104256,0.37768543789633285
5,0.060367968760504154,0.04246371079776433,0.3764958674714362,0.049911647350403085,0.015496082699646651,0.45526472292024556
6,0.04946029370648366,0.03388436591207669,0.3127809859433267,0.04483813129142845,0.01314485347986505,0.5458913696668194
7,0.03992492669190572,0.02592616433356893,0.21591516946077932,0.03884103253006201,0.010372800267679425,0.6690199067160046
8,0.02463266262943134,0.014895269406531105,0.10513703252077858,0.026179531603258564,0.006133493789692987,0.8230220100503073
9,0.007415017247015354,0.004231773852280919,0.025663459806242617,0.00883848098125106,0.0018175839854297784,0.9520336841277803
10,0.0005169754751617357,0.00028917726592865805,0.0016130065575855016,0.0006739736986913948,0.0001294400899788605,0.9967774269126539
11,3.8568224132861234e-06,2.1551209243895077e-06,1.1775732174344746e-05,5.164946379862042e-06,9.796069469289411e-07,0.9999760677711612
