iteration,weight_-2.15V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-7.cor_curve_43,weight_-2.15V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-7R4.cor_curve_43
1,0.5,0.5
2,0.49575639903899515,0.5042436009610048
3,0.487322713863368,0.5126772861366319
4,0.47058062354658386,0.5294193764534161
5,0.437516321731554,0.5624836782684459
6,0.3736115363252852,0.6263884636747149
7,0.26008751567998656,0.7399124843200134
8,0.10910392331606376,0.8908960766839362
9,0.014690805897936823,0.9853091941020633
10,0.00022178974798385808,0.9997782102520161
11,5.644813060060676e-07,0.9999994355186941
