iteration,energy_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BVR2)_Ru-7R2_CTAB_diaphram_20230504.cor_curve_43,energy_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BVR2)_Ru-7R_CTAB_diaphram_20230504.cor_curve_43,energy_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-1.cor_curve_43,energy_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-2.cor_curve_43,energy_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-3.cor_curve_43,energy_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-4.cor_curve_43,energy_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-4R3.cor_curve_43,energy_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-6.cor_curve_43,nu
1,3048.217767514328,53.76553142535947,52.177528249205565,52.9673054004535,51.87668911400509,51.55396364655441,53.90775224758346,52.19202151469974,1.000005709133732
2,63767.10838513041,521.9281346308853,153.88775734626114,207.8487821315004,232.11314869658335,536.5374423358461,940.7379865855356,94.49837901475793,1.1576535809946134
3,63758.48079388239,750.7716577298564,169.95602431379407,645.0425174801671,333.72373442434593,817.4798184912661,2377.9111794317455,108.44986083020353,1.2531296507441447
4,63748.829218349296,859.4149350372434,228.6972297110119,1135.497176347484,356.6968725941397,899.6849511236655,3521.809274247137,95.5865810785779,1.1693176127031002
5,63743.41378532306,910.8899426198225,355.8333729159872,1574.3493474923146,363.1346106026398,1007.6918342206889,4331.607235952821,67.82276132821056,1.000005709133732
6,63740.15178082501,965.9033096167669,635.4272250409871,2383.447311719047,418.7087754060718,1349.897788269858,5695.867622270392,35.43762412001874,1.000005709133732
7,63739.67769299786,1049.3623237069953,1494.1879840154536,5116.836585113159,668.5276594411306,2937.665131763838,9994.102991881286,11.563093740637962,1.000005709133732
8,63739.943747926285,1105.8616292850265,3820.2116190787942,12958.770677932318,1057.6846074128014,15601.678191094132,20579.76006913445,1.6278167049619383,1.000005709133732
9,63740.250081071565,1100.782288679982,4242.962162501714,14247.848133414594,1097.8271722216082,25554.75640038662,22117.60809379873,0.009000965699381561,1.000005709133732
10,63740.254660712584,1100.561263237763,4248.38159061135,14254.234893430003,1098.3926317214884,25592.803730964937,22119.77162642955,0.000883857482940616,1.000005709133732
11,63740.25463932086,1100.5613579719582,4248.408063784592,14254.273321090845,1098.3952341016127,25592.88837997928,22119.793532042295,0.0008680961307308823,1.000005709133732
