iteration,energy_-2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-10.cor_curve_43,energy_-2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-10r.cor_curve_43,energy_-2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-10r2.cor_curve_43,energy_-2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-10r3.cor_curve_43,energy_-2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-8.cor_curve_43,energy_-2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-8R2.cor_curve_43,energy_-2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-9.cor_curve_43,nu
1,78.12965886925633,69.74670215429283,479.3347565077218,33.170141639737665,565.8525903385814,1168.0653535362856,97.97147304652945,1.000005709133732
2,269.5037569341902,354.4526313691884,1823.6527169188516,104.7329118408099,1019.8699534100066,7935.794853548289,299.71950098356973,1.590061526283957
3,289.2495847459655,490.65388538189535,2038.5501135433346,106.79628747772162,1066.1829050727285,9516.302190576485,366.1705673314053,1.5946215734676252
4,288.14913616324753,613.8581028184843,2172.4815537720997,86.41470173722065,1101.936319022404,10082.518178208062,436.0662716936095,1.3715644402823697
5,313.4763957827647,935.9405704740421,2458.0204700305944,59.404524515927015,1163.8478820249084,12090.403441597427,605.176052395937,1.0100740384423292
6,400.6448420240977,2160.790331929839,3012.2182147510835,27.773844485543712,1258.0275778814994,19614.20174966491,1054.0546700361867,1.000005709133732
7,530.082299541732,9731.340946736798,3618.889931875351,4.9245567300207655,1339.0995715322688,49794.91980867545,1927.761111546604,1.000005709133732
8,565.8768189886297,35962.372424783876,3803.1913572305184,0.07708089196624764,1364.8408607447186,88694.7218938204,2331.885540096579,1.000005709133732
9,565.831256582835,36151.374673585844,3809.0713298381534,0.0005772824549307057,1366.6254103295037,88518.94481251032,2341.963359282119,1.000005709133732
10,565.8392845303604,36152.431091117636,3809.10628509266,0.0004941703512960892,1366.6358810712366,88517.92164698613,2342.0364030822734,1.000005709133732
