iteration,sigma_btw_squared,nu
0,0.06559670935902912,5.0
1,0.06559670935902912,40.91240682324996
2,0.06549433676550788,40.9458733271976
3,0.06529120963768892,39.82388547027458
4,0.06486308959165832,34.802662101171144
5,0.0638700335833821,22.962403367568317
6,0.061264183867273274,9.879868174057737
7,0.05385863622423517,3.134050864243336
8,0.03553350118777891,1.000005709133732
9,0.01058685050155275,1.000005709133732
10,0.0006800638177841449,1.000005709133732
11,5.754854919694988e-06,1.000005709133732
12,5.754854919694988e-06,1.000005709133732
