iteration,weight_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BVR2)_Ru-7R2_CTAB_diaphram_20230504.cor_curve_43,weight_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BVR2)_Ru-7R_CTAB_diaphram_20230504.cor_curve_43,weight_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-1.cor_curve_43,weight_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-2.cor_curve_43,weight_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-3.cor_curve_43,weight_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-4.cor_curve_43,weight_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-4R3.cor_curve_43,weight_-1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-6.cor_curve_43
1,0.0025058596212629274,0.13952043738005127,0.1436868377601719,0.14158407260354558,0.1445043363605675,0.14539171423273137,0.13915905472558404,0.14364768731608538
2,0.0005087499235441145,0.06202061153799547,0.20924257143577357,0.15522058141961653,0.13907484415100982,0.06033549630282035,0.034443412930544315,0.3391537322986958
3,0.0006978046025426018,0.05916272513264341,0.2598683233838564,0.0688413050377871,0.13282062303490777,0.05434230525313598,0.018700615009600192,0.4055662985455265
4,0.0007494157289462693,0.05551490336482457,0.20783907958503822,0.042031019544440745,0.1335003219933629,0.05303327439427696,0.013561039437917841,0.4937709459511924
5,0.0006806505336061596,0.047579940255714034,0.12159083723739801,0.027541617466059088,0.11915282787651586,0.04301380019520778,0.010014217038661165,0.6304261093968379
6,0.00046438733115459937,0.03061379860187133,0.04651055443994796,0.012414022799545614,0.07052648096667716,0.021911785995061845,0.0051959401720146825,0.8123630296937268
7,0.00018819341112627971,0.011420416772075693,0.008022787533111492,0.002343876235738332,0.017916474834431595,0.0040819811045009835,0.0012001452677888663,0.9548261248412268
8,4.0977291621236556e-05,0.0023597630975974115,0.0006835348305396496,0.00020154147046000446,0.0024671476358792827,0.0001674027501855866,0.00012691131089945454,0.9939527216128173
9,1.5794293124577787e-05,0.0009137449323015543,0.00023721888841013266,7.065469279817495e-05,0.0009162023002502475,3.939417687349283e-05,4.551588343481856e-05,0.997761474832807
10,1.566752518774773e-05,0.0009065929795621271,0.00023501483459370786,7.005620882789617e-05,0.0009083812998045716,3.9019901975484245e-05,4.5146151752403915e-05,0.9977801210982961
11,1.566727908231109e-05,0.000906578660532486,0.0002350096788184719,7.005491951549416e-05,0.0009083648804521423,3.9019159985817915e-05,4.514539787535378e-05,0.9977801600237379
