iteration,weight_-2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-10.cor_curve_43,weight_-2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-10r.cor_curve_43,weight_-2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-10r2.cor_curve_43,weight_-2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-10r3.cor_curve_43,weight_-2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-8.cor_curve_43,weight_-2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-8R2.cor_curve_43,weight_-2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-9.cor_curve_43
1,0.17838710689211196,0.19952464729146127,0.029387237909525788,0.4131007042306027,0.024901909300410148,0.012074356512105798,0.14262403786378233
2,0.17671203743730615,0.13454999064079595,0.02624612000252303,0.4505662274079703,0.04689908591262625,0.006035431254672812,0.1589911073441054
3,0.1814723585366805,0.1072226392599349,0.025870803761623647,0.48694290461749157,0.049429944693905284,0.005545362082528627,0.1435159870478353
4,0.17080092100093006,0.08037714197406952,0.022747812121079198,0.5633045402788766,0.04482012958768987,0.004903901527480428,0.11304555350987414
5,0.13362207255286365,0.04485010404065458,0.01708898410745545,0.6955658879289884,0.0360750713583639,0.003475386383320908,0.06932249362835308
6,0.0625080584852683,0.011613540497102694,0.008331968611480452,0.8725297262116005,0.01994081778638666,0.001279927677804136,0.023795960730357314
7,0.010926052894456986,0.000596221750433311,0.001602986129007322,0.9794197323556626,0.004330001633479985,0.00011652828946850581,0.003008476947491123
8,0.0018934556059820523,2.9845813367469303e-05,0.0002821509222911067,0.9965364906861857,0.0007858573630265226,1.2101554377573407e-05,0.0004600980547695829
9,0.0017595465475960964,2.7587841725002306e-05,0.0002617709493599565,0.9967848734384501,0.0007292683939175884,1.1267132991141334e-05,0.00042568569596012197
10,0.0017593760276943032,2.7584752775792617e-05,0.0002617468864871884,0.9967851863369894,0.0007292024642248759,1.1266330861049906e-05,0.00042563720096737266
