iteration,weight_-2.15V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-7.cor_curve_43,weight_-2.15V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-7R4.cor_curve_43
1,0.4960699317274574,0.5039300682725427
2,0.48899961235050665,0.5110003876494933
3,0.47622447174324306,0.5237755282567569
4,0.45271144546745734,0.5472885545325427
5,0.40792100704802825,0.5920789929519717
6,0.3233087546693642,0.6766912453306358
7,0.1867045791274567,0.8132954208725434
8,0.050824796499703416,0.9491752035002965
9,0.0031866100988714703,0.9968133899011286
10,3.052143116347438e-05,0.9999694785688364
11,3.109739304119933e-06,0.9999968902606958
12,3.1049800090781804e-06,0.999996895019991
